username,repo_name,stars,repo_url
flutter,flutter,156000,https://github.com/flutter/flutter
facebook,react-native,111000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,104000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,88900,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,67700,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,48400,https://github.com/google/material-design-icons
Solido,awesome-flutter,47900,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,47000,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44300,https://github.com/square/okhttp
android,architecture-samples,43000,https://github.com/android/architecture-samples
square,retrofit,41900,https://github.com/square/retrofit
dcloudio,uni-app,38500,https://github.com/dcloudio/uni-app
laurent22,joplin,37800,https://github.com/laurent22/joplin
fastlane,fastlane,37400,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36700,https://github.com/PhilJay/MPAndroidChart
skylot,jadx,35600,https://github.com/skylot/jadx
airbnb,lottie-android,34100,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,33900,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33800,https://github.com/bumptech/glide
xitu,gold-miner,32600,https://github.com/xitu/gold-miner
