username,repo_name,stars,repo_url
bregman-arie,devops-exercises,54400,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,16700,https://github.com/pulumi/pulumi
microsoft,recommenders,16100,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,14100,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,13500,https://github.com/getsops/sops
Azure,azure-quickstart-templates,13100,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,10700,https://github.com/caprover/caprover
infracost,infracost,9400,https://github.com/infracost/infracost
google,go-cloud,9100,https://github.com/google/go-cloud
microsoft,computervision-recipes,9100,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,8400,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7200,https://github.com/microsoft/azuredatastudio
Netflix,metaflow,6900,https://github.com/Netflix/metaflow
midwayjs,midway,6800,https://github.com/midwayjs/midway
node-formidable,formidable,6700,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6300,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,6100,https://github.com/aquasecurity/tfsec
budtmo,docker-android,6000,https://github.com/budtmo/docker-android
bridgecrewio,checkov,5800,https://github.com/bridgecrewio/checkov
milanm,DevOps-Roadmap,5700,https://github.com/milanm/DevOps-Roadmap
