username,repo_name,stars,repo_url
atom,atom,59500,https://github.com/atom/atom
miniflux,v2,5300,https://github.com/miniflux/v2
themerdev,themer,5200,https://github.com/themerdev/themer
shd101wyy,markdown-preview-enhanced,3900,https://github.com/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,3900,https://github.com/nteract/hydrogen
atom,teletype,2400,https://github.com/atom/teletype
mmcdole,gofeed,2200,https://github.com/mmcdole/gofeed
NaiboWang,CommandlineConfig,2000,https://github.com/NaiboWang/CommandlineConfig
feeddd,feeds,1900,https://github.com/feeddd/feeds
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,1700,https://github.com/kurtmckee/feedparser
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
ocaml,merlin,1500,https://github.com/ocaml/merlin
simplepie,simplepie,1500,https://github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1400,https://github.com/MagicStack/MagicPython
file-icons,atom,1300,https://github.com/file-icons/atom
atom,apm,1300,https://github.com/atom/apm
fwcd,kotlin-language-server,1300,https://github.com/fwcd/kotlin-language-server
