username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,138000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,69100,https://github.com/nvm-sh/nvm
junegunn,fzf,53600,https://github.com/junegunn/fzf
google,zx,38000,https://github.com/google/zx
starship,starship,35400,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,34300,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,33800,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,32700,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,32600,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,29200,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,28100,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,24600,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,22300,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18600,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,18100,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17400,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,15900,https://github.com/kingToolbox/WindTerm
rbenv,rbenv,15200,https://github.com/rbenv/rbenv
warpdotdev,Warp,14700,https://github.com/warpdotdev/Warp
faressoft,terminalizer,14400,https://github.com/faressoft/terminalizer
