username,repo_name,stars,repo_url
ccxt,ccxt,28800,https://github.com/ccxt/ccxt
discordjs,discord.js,23700,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,22600,https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,16900,https://github.com/wechaty/wechaty
RasaHQ,rasa,16800,https://github.com/RasaHQ/rasa
hubotio,hubot,16500,https://github.com/hubotio/hubot
InstaPy,InstaPy,15600,https://github.com/InstaPy/InstaPy
gunthercox,ChatterBot,13500,https://github.com/gunthercox/ChatterBot
Rapptz,discord.py,13300,https://github.com/Rapptz/discord.py
leon-ai,leon,13300,https://github.com/leon-ai/leon
tgbot-collection,YYeTsBot,13000,https://github.com/tgbot-collection/YYeTsBot
howdyai,botkit,11200,https://github.com/howdyai/botkit
pedroslopez,whatsapp-web.js,10900,https://github.com/pedroslopez/whatsapp-web.js
sfyc23,EverydayWechat,9600,https://github.com/sfyc23/EverydayWechat
Mrs4s,go-cqhttp,9200,https://github.com/Mrs4s/go-cqhttp
lss233,chatgpt-mirai-qq-bot,8500,https://github.com/lss233/chatgpt-mirai-qq-bot
microsoft,ailab,7500,https://github.com/microsoft/ailab
yagop,node-telegram-bot-api,7300,https://github.com/yagop/node-telegram-bot-api
microsoft,botframework-sdk,7200,https://github.com/microsoft/botframework-sdk
telegraf,telegraf,6900,https://github.com/telegraf/telegraf
